stimulus_presentation_id,area,temporal_frequency,orientation,active
3824,POL,8.0,315.0,1
3824,ProS,8.0,315.0,1
3824,SUB,8.0,315.0,1
3824,VISal,8.0,315.0,1
3824,VISam,8.0,315.0,1
3824,VISl,8.0,315.0,0
3824,VISmma,8.0,315.0,1
3824,VISp,8.0,315.0,1
3824,VISrl,8.0,315.0,1
3825,APN,2.0,45.0,1
3825,CA1,2.0,45.0,1
3825,CA2,2.0,45.0,1
3825,CA3,2.0,45.0,1
3825,DG,2.0,45.0,1
3825,LGd,2.0,45.0,1
3825,LP,2.0,45.0,1
3825,POL,2.0,45.0,1
3825,ProS,2.0,45.0,1
3825,SUB,2.0,45.0,1
3825,VISal,2.0,45.0,0
3825,VISam,2.0,45.0,1
3825,VISl,2.0,45.0,1
3825,VISmma,2.0,45.0,1
3825,VISp,2.0,45.0,1
3825,VISrl,2.0,45.0,1
3826,APN,1.0,90.0,1
3826,CA1,1.0,90.0,1
3826,CA2,1.0,90.0,1
3826,CA3,1.0,90.0,1
3826,DG,1.0,90.0,1
3826,LGd,1.0,90.0,1
3826,LP,1.0,90.0,0
3826,POL,1.0,90.0,1
3826,ProS,1.0,90.0,1
3826,SUB,1.0,90.0,1
3826,VISal,1.0,90.0,0
3826,VISam,1.0,90.0,1
3826,VISl,1.0,90.0,1
3826,VISmma,1.0,90.0,1
3826,VISp,1.0,90.0,1
3826,VISrl,1.0,90.0,1
3827,APN,2.0,180.0,1
3827,CA1,2.0,180.0,1
3827,CA2,2.0,180.0,1
3827,CA3,2.0,180.0,1
3827,DG,2.0,180.0,0
3827,LGd,2.0,180.0,1
3827,LP,2.0,180.0,0
3827,POL,2.0,180.0,1
3827,ProS,2.0,180.0,1
3827,SUB,2.0,180.0,0
3827,VISal,2.0,180.0,0
3827,VISam,2.0,180.0,1
3827,VISl,2.0,180.0,0
3827,VISmma,2.0,180.0,0
3827,VISp,2.0,180.0,0
3827,VISrl,2.0,180.0,1
3828,APN,2.0,0.0,1
3828,CA1,2.0,0.0,1
3828,CA2,2.0,0.0,1
3828,CA3,2.0,0.0,1
3828,DG,2.0,0.0,0
3828,LGd,2.0,0.0,1
3828,LP,2.0,0.0,0
3828,POL,2.0,0.0,1
3828,ProS,2.0,0.0,1
3828,SUB,2.0,0.0,1
3828,VISal,2.0,0.0,0
3828,VISam,2.0,0.0,1
3828,VISl,2.0,0.0,0
3828,VISmma,2.0,0.0,1
3828,VISp,2.0,0.0,0
3828,VISrl,2.0,0.0,1
3829,APN,15.0,90.0,1
3829,CA1,15.0,90.0,1
3829,CA2,15.0,90.0,0
3829,CA3,15.0,90.0,1
3829,DG,15.0,90.0,1
3829,LGd,15.0,90.0,1
3829,LP,15.0,90.0,0
3829,POL,15.0,90.0,1
3829,ProS,15.0,90.0,1
3829,SUB,15.0,90.0,1
3829,VISal,15.0,90.0,1
3829,VISam,15.0,90.0,1
3829,VISl,15.0,90.0,0
3829,VISmma,15.0,90.0,1
3829,VISp,15.0,90.0,1
3829,VISrl,15.0,90.0,1
3831,APN,2.0,0.0,1
3831,CA1,2.0,0.0,1
3831,CA2,2.0,0.0,0
3831,CA3,2.0,0.0,1
3831,DG,2.0,0.0,0
3831,LGd,2.0,0.0,1
3831,LP,2.0,0.0,1
3831,POL,2.0,0.0,1
3831,ProS,2.0,0.0,1
3831,SUB,2.0,0.0,1
3831,VISal,2.0,0.0,0
3831,VISam,2.0,0.0,1
3831,VISl,2.0,0.0,0
3831,VISmma,2.0,0.0,1
3831,VISp,2.0,0.0,0
3831,VISrl,2.0,0.0,1
3833,APN,1.0,270.0,1
3833,CA1,1.0,270.0,0
3833,CA2,1.0,270.0,0
3833,CA3,1.0,270.0,1
3833,DG,1.0,270.0,0
3833,LGd,1.0,270.0,1
3833,LP,1.0,270.0,0
3833,POL,1.0,270.0,1
3833,ProS,1.0,270.0,1
3833,SUB,1.0,270.0,1
3833,VISal,1.0,270.0,0
3833,VISam,1.0,270.0,1
3833,VISl,1.0,270.0,0
3833,VISmma,1.0,270.0,1
3833,VISp,1.0,270.0,0
3833,VISrl,1.0,270.0,1
3834,APN,4.0,135.0,1
3834,CA1,4.0,135.0,1
3834,CA2,4.0,135.0,1
3834,CA3,4.0,135.0,1
3834,DG,4.0,135.0,0
3834,LGd,4.0,135.0,1
3834,LP,4.0,135.0,0
3834,POL,4.0,135.0,1
3834,ProS,4.0,135.0,1
3834,SUB,4.0,135.0,1
3834,VISal,4.0,135.0,0
3834,VISam,4.0,135.0,1
3834,VISl,4.0,135.0,0
3834,VISmma,4.0,135.0,1
3834,VISp,4.0,135.0,0
3834,VISrl,4.0,135.0,1
3835,APN,4.0,135.0,1
3835,CA1,4.0,135.0,0
3835,CA2,4.0,135.0,0
3835,CA3,4.0,135.0,1
3835,DG,4.0,135.0,0
3835,LGd,4.0,135.0,1
3835,LP,4.0,135.0,0
3835,POL,4.0,135.0,1
3835,ProS,4.0,135.0,1
3835,SUB,4.0,135.0,0
3835,VISal,4.0,135.0,0
3835,VISam,4.0,135.0,1
3835,VISl,4.0,135.0,0
3835,VISmma,4.0,135.0,0
3835,VISp,4.0,135.0,0
3835,VISrl,4.0,135.0,1
3836,APN,8.0,135.0,1
3836,CA1,8.0,135.0,1
3836,CA2,8.0,135.0,1
3836,CA3,8.0,135.0,1
3836,DG,8.0,135.0,1
3836,LGd,8.0,135.0,1
3836,LP,8.0,135.0,0
3836,POL,8.0,135.0,1
3836,ProS,8.0,135.0,1
3836,SUB,8.0,135.0,1
3836,VISal,8.0,135.0,1
3836,VISam,8.0,135.0,1
3836,VISl,8.0,135.0,1
3836,VISmma,8.0,135.0,1
3836,VISp,8.0,135.0,1
3836,VISrl,8.0,135.0,1
3837,APN,4.0,315.0,1
3837,CA1,4.0,315.0,1
3837,CA2,4.0,315.0,1
3837,CA3,4.0,315.0,1
3837,DG,4.0,315.0,1
3837,LGd,4.0,315.0,1
3837,LP,4.0,315.0,0
3837,POL,4.0,315.0,1
3837,ProS,4.0,315.0,1
3837,SUB,4.0,315.0,1
3837,VISal,4.0,315.0,1
3837,VISam,4.0,315.0,1
3837,VISl,4.0,315.0,1
3837,VISmma,4.0,315.0,1
3837,VISp,4.0,315.0,1
3837,VISrl,4.0,315.0,1
3838,APN,2.0,225.0,1
3838,CA1,2.0,225.0,1
3838,CA2,2.0,225.0,1
3838,CA3,2.0,225.0,1
3838,DG,2.0,225.0,1
3838,LGd,2.0,225.0,1
3838,LP,2.0,225.0,1
3838,POL,2.0,225.0,1
3838,ProS,2.0,225.0,1
3838,SUB,2.0,225.0,1
3838,VISal,2.0,225.0,0
3838,VISam,2.0,225.0,1
3838,VISl,2.0,225.0,1
3838,VISmma,2.0,225.0,1
3838,VISp,2.0,225.0,1
3838,VISrl,2.0,225.0,1
3839,APN,15.0,45.0,1
3839,CA1,15.0,45.0,1
3839,CA2,15.0,45.0,1
3839,CA3,15.0,45.0,1
3839,DG,15.0,45.0,0
3839,LGd,15.0,45.0,1
3839,LP,15.0,45.0,1
3839,POL,15.0,45.0,1
3839,ProS,15.0,45.0,1
3839,SUB,15.0,45.0,1
3839,VISal,15.0,45.0,0
3839,VISam,15.0,45.0,1
3839,VISl,15.0,45.0,0
3839,VISmma,15.0,45.0,0
3839,VISp,15.0,45.0,0
3839,VISrl,15.0,45.0,1
3841,APN,2.0,180.0,1
3841,CA1,2.0,180.0,0
3841,CA2,2.0,180.0,0
3841,CA3,2.0,180.0,1
3841,DG,2.0,180.0,0
3841,LGd,2.0,180.0,1
3841,LP,2.0,180.0,0
3841,POL,2.0,180.0,1
3841,ProS,2.0,180.0,1
3841,SUB,2.0,180.0,1
3841,VISal,2.0,180.0,0
3841,VISam,2.0,180.0,1
3841,VISl,2.0,180.0,0
3841,VISmma,2.0,180.0,1
3841,VISp,2.0,180.0,0
3841,VISrl,2.0,180.0,1
3842,APN,1.0,0.0,1
3842,CA1,1.0,0.0,1
3842,CA2,1.0,0.0,1
3842,CA3,1.0,0.0,1
3842,DG,1.0,0.0,0
3842,LGd,1.0,0.0,0
3842,LP,1.0,0.0,0
3842,POL,1.0,0.0,1
3842,ProS,1.0,0.0,1
3842,SUB,1.0,0.0,1
3842,VISal,1.0,0.0,0
3842,VISam,1.0,0.0,1
3842,VISl,1.0,0.0,0
3842,VISmma,1.0,0.0,0
3842,VISp,1.0,0.0,0
3842,VISrl,1.0,0.0,1
3843,APN,15.0,270.0,1
3843,CA1,15.0,270.0,1
3843,CA2,15.0,270.0,0
3843,CA3,15.0,270.0,1
3843,DG,15.0,270.0,0
3843,LGd,15.0,270.0,1
3843,LP,15.0,270.0,1
3843,POL,15.0,270.0,1
3843,ProS,15.0,270.0,1
3843,SUB,15.0,270.0,0
3843,VISal,15.0,270.0,1
3843,VISam,15.0,270.0,1
3843,VISl,15.0,270.0,0
3843,VISmma,15.0,270.0,0
3843,VISp,15.0,270.0,0
3843,VISrl,15.0,270.0,0
3844,APN,4.0,225.0,1
3844,CA1,4.0,225.0,0
3844,CA2,4.0,225.0,1
3844,CA3,4.0,225.0,0
3844,DG,4.0,225.0,1
3844,LGd,4.0,225.0,0
3844,LP,4.0,225.0,0
3844,POL,4.0,225.0,1
3844,ProS,4.0,225.0,1
3844,SUB,4.0,225.0,1
3844,VISal,4.0,225.0,0
3844,VISam,4.0,225.0,1
3844,VISl,4.0,225.0,0
3844,VISmma,4.0,225.0,0
3844,VISp,4.0,225.0,0
3844,VISrl,4.0,225.0,0
3845,APN,1.0,45.0,1
3845,CA1,1.0,45.0,0
3845,CA2,1.0,45.0,0
3845,CA3,1.0,45.0,1
3845,DG,1.0,45.0,0
3845,LGd,1.0,45.0,1
3845,LP,1.0,45.0,0
3845,POL,1.0,45.0,1
3845,ProS,1.0,45.0,1
3845,SUB,1.0,45.0,0
3845,VISal,1.0,45.0,0
3845,VISam,1.0,45.0,1
3845,VISl,1.0,45.0,0
3845,VISmma,1.0,45.0,0
3845,VISp,1.0,45.0,1
3845,VISrl,1.0,45.0,1
3846,APN,1.0,45.0,1
3846,CA1,1.0,45.0,0
3846,CA2,1.0,45.0,0
3846,CA3,1.0,45.0,1
3846,DG,1.0,45.0,0
3846,LGd,1.0,45.0,1
3846,LP,1.0,45.0,0
3846,POL,1.0,45.0,1
3846,ProS,1.0,45.0,1
3846,SUB,1.0,45.0,1
3846,VISal,1.0,45.0,0
3846,VISam,1.0,45.0,1
3846,VISl,1.0,45.0,0
3846,VISmma,1.0,45.0,0
3846,VISp,1.0,45.0,0
3846,VISrl,1.0,45.0,1
3847,APN,15.0,135.0,1
3847,CA1,15.0,135.0,0
3847,CA2,15.0,135.0,0
3847,CA3,15.0,135.0,1
3847,DG,15.0,135.0,0
3847,LGd,15.0,135.0,1
3847,LP,15.0,135.0,0
3847,POL,15.0,135.0,1
3847,ProS,15.0,135.0,0
3847,SUB,15.0,135.0,1
3847,VISal,15.0,135.0,0
3847,VISam,15.0,135.0,0
3847,VISl,15.0,135.0,0
3847,VISmma,15.0,135.0,0
3847,VISp,15.0,135.0,0
3847,VISrl,15.0,135.0,1
3848,APN,4.0,0.0,1
3848,CA1,4.0,0.0,0
3848,CA2,4.0,0.0,1
3848,CA3,4.0,0.0,1
3848,DG,4.0,0.0,1
3848,LGd,4.0,0.0,1
3848,LP,4.0,0.0,0
3848,POL,4.0,0.0,1
3848,ProS,4.0,0.0,1
3848,SUB,4.0,0.0,0
3848,VISal,4.0,0.0,0
3848,VISam,4.0,0.0,0
3848,VISl,4.0,0.0,0
3848,VISmma,4.0,0.0,0
3848,VISp,4.0,0.0,0
3848,VISrl,4.0,0.0,1
3849,APN,2.0,135.0,1
3849,CA1,2.0,135.0,0
3849,CA2,2.0,135.0,0
3849,CA3,2.0,135.0,1
3849,DG,2.0,135.0,0
3849,LGd,2.0,135.0,1
3849,LP,2.0,135.0,0
3849,POL,2.0,135.0,1
3849,ProS,2.0,135.0,1
3849,SUB,2.0,135.0,0
3849,VISal,2.0,135.0,0
3849,VISam,2.0,135.0,0
3849,VISl,2.0,135.0,0
3849,VISmma,2.0,135.0,0
3849,VISp,2.0,135.0,0
3849,VISrl,2.0,135.0,1
3850,APN,15.0,315.0,1
3850,CA1,15.0,315.0,0
3850,CA2,15.0,315.0,0
3850,CA3,15.0,315.0,1
3850,DG,15.0,315.0,0
3850,LGd,15.0,315.0,0
3850,LP,15.0,315.0,0
3850,POL,15.0,315.0,1
3850,ProS,15.0,315.0,1
3850,SUB,15.0,315.0,0
3850,VISal,15.0,315.0,0
3850,VISam,15.0,315.0,1
3850,VISl,15.0,315.0,0
3850,VISmma,15.0,315.0,0
3850,VISp,15.0,315.0,0
3850,VISrl,15.0,315.0,1
3851,APN,1.0,90.0,1
3851,CA1,1.0,90.0,0
3851,CA2,1.0,90.0,1
3851,CA3,1.0,90.0,1
3851,DG,1.0,90.0,1
3851,LGd,1.0,90.0,1
3851,LP,1.0,90.0,0
3851,POL,1.0,90.0,1
3851,ProS,1.0,90.0,1
3851,SUB,1.0,90.0,0
3851,VISal,1.0,90.0,0
3851,VISam,1.0,90.0,1
3851,VISl,1.0,90.0,0
3851,VISmma,1.0,90.0,1
3851,VISp,1.0,90.0,0
3851,VISrl,1.0,90.0,1
3852,APN,8.0,90.0,1
3852,CA1,8.0,90.0,0
3852,CA2,8.0,90.0,0
3852,CA3,8.0,90.0,1
3852,DG,8.0,90.0,1
3852,LGd,8.0,90.0,0
3852,LP,8.0,90.0,0
3852,POL,8.0,90.0,1
3852,ProS,8.0,90.0,1
3852,SUB,8.0,90.0,0
3852,VISal,8.0,90.0,1
3852,VISam,8.0,90.0,1
3852,VISl,8.0,90.0,0
3852,VISmma,8.0,90.0,0
3852,VISp,8.0,90.0,0
3852,VISrl,8.0,90.0,1
3853,APN,1.0,315.0,1
3853,CA1,1.0,315.0,0
3853,CA2,1.0,315.0,1
3853,CA3,1.0,315.0,1
3853,DG,1.0,315.0,0
3853,LGd,1.0,315.0,1
3853,LP,1.0,315.0,0
3853,POL,1.0,315.0,1
3853,ProS,1.0,315.0,1
3853,SUB,1.0,315.0,1
3853,VISal,1.0,315.0,0
3853,VISam,1.0,315.0,1
3853,VISl,1.0,315.0,1
3853,VISmma,1.0,315.0,1
3853,VISp,1.0,315.0,1
3853,VISrl,1.0,315.0,1
3854,APN,15.0,315.0,1
3854,CA1,15.0,315.0,0
3854,CA2,15.0,315.0,1
3854,CA3,15.0,315.0,1
3854,DG,15.0,315.0,0
3854,LGd,15.0,315.0,0
3854,LP,15.0,315.0,0
3854,POL,15.0,315.0,1
3854,ProS,15.0,315.0,1
3854,SUB,15.0,315.0,1
3854,VISal,15.0,315.0,0
3854,VISam,15.0,315.0,1
3854,VISl,15.0,315.0,0
3854,VISmma,15.0,315.0,0
3854,VISp,15.0,315.0,0
3854,VISrl,15.0,315.0,1
3855,APN,1.0,180.0,1
3855,CA1,1.0,180.0,1
3855,CA2,1.0,180.0,1
3855,CA3,1.0,180.0,1
3855,DG,1.0,180.0,1
3855,LGd,1.0,180.0,0
3855,LP,1.0,180.0,0
